Subj #,,Win 1_2,Win 3_4,Win 5_6,Win 7_8,Win 9_10,,Spr 1_2,Spr 3_4,Spr 5_6,Spr 7-8,Spr 9-10,,CPD_Q1,CPD_Q2,CPD_Q3
54,,I took a nap.,I went for a walk on the campus for 30 minutes.,"I talked with my family in Korea via Skype since they all got together for the New Year's Day. It was great to see all my family members at the same time, talk about how things going, and get emotional support from them. ",I took a short nap then cooked a meal with my husband. We also talked about how things are going and I got a lot of emotional support from him.,I had a good walk and lunch with my husband. It helped me relax and calm my mind.,,I took a warm bath then took a short nap. It helped me feel refreshed and relaxed.,"I didn't have enough sleep last night. Therefore, I took a nap and feel recharged!!","I invited my friend and talked for a long time about school, personal lives, plans, etc. It was very nice to get to know each other more and give each other support. ",I went out for a walk with my husband on campus and I showed him my humming bird that keeps its position on the top of a tree every time I pass by on my way to school. We gave it a name Marcello assuming it's a male. We also enjoyed plants and flowers on our way. It was a great time to connect with the beauty of the nature!,"I went out to the U District Street Fair last weekend with my husband and had a fun time. We enjoyed some good food, saw some great art and crafts, and listened to live music. It was a wonderful break from homework and study. ",,"The class time devoted to health and wellness and self-care has affected me in a positive way. It made me look into myself and evaluate how I am doing and what I really need for myself at that moment. Mentor team discussion was a good session to relax, have some fun, and release some stress and pressures from school work.","I decided how to participate in self-care each module according to my condition in each module time. When I felt exhausted, I chose the Rest/Relax part such as taking a nap. When I felt I need emotional support, I chose the Social connectedness such as reaching out to friends or family.","I became more conscious about taking time for self-care and started to feel like time spent on self-care is not a waste of time. I used to feel guilty about spending time for myself or spending time with my husband. Nowadays, I can take a nap or go out for dinner with my friends and husband without guilt or hesitation."
55,,I called my friend on FT to talk about classes and relax. It was nice because I haven't seen her since winter break and I miss her a lot. ,I took a walk outside. ,I slept and watched a kdrama. ,I went to Dave and Buskers which is an arcade and it was super fun and stress relieving. ,I took a walk around greenlake!,,I ran two miles at the IMA. ,I bought myself pretty tulips from Trader Joe’s ,I got my ears pierced and my hair done. ,I worked out for 30 minutes. ,I bought myself a venti pink drink to celebrate end of WIP. ,,I have appreciated the time to reflect on health and wellness. I felt that the individual mentor group sessions were the most valuable as they allowed us to form a smaller community and dive deeper. ,"I decided what to participate in in terms of self care depending on how I was feeling. If I felt stressed, walking outside helped. If I felt unloved, buying myself flowers helped me show care to myself. ","The time spent on my self care positively affected me. It allowed me to take a break or treat myself in many situations, which helped bring a little happiness into my day, "
56,,Social connectedness - meeting an online friend for the first time for dinner,Create - spent some time making a tiktok video,connect to environment: walking at the park outside,Create: got reacquainted with and played my saxophone after awhile without it,"Decorated my space with (fake) plants, but greenery nonetheless.",,"Outdoor: Spent some time visiting the cherry blossoms, taking photos, and enjoying the sunny and windy weather","With school taking up a larger portion of time recently, I have not dedicated as much time to exercise as I had before, and it is my priority to get back on top of physical activity as I think it just helps with overall energy.",Went to Bellevue botanical garden and had a nice time walking around and smelling fresh flowers and plants,Growth mindset - After performing poorly on a recent exam I reflected on how to motivate myself to do better and one way I did this was to improve my CV and apply to several new internship positions,Naps - I've taken many naps this week while stress studying for finals and migraines associated with them,,"The weekly emphasis on health and wellness time has been a good reinforcement when feeling stressed and overwhelmed, especially with the reminders that grades are not the defining component of my education here.",I’ve participated mostly in resting and relaxing since the transition to being a full-time student again and part-time intern has increased my workload drastically since last year. ,"It has helped me recharge and motivate me to continue when feeling overwhelmed, and this has been the best approach for me for succeeding."
57,,I spent my time listening to relaxing music while doing diamond painting. ,I took a walk at my local park. ,I rearranged night table and desk.  ,"Since it was a nice day yesterday, I took out my camera and walked about the neighborhood. ",I went out for dinner with friends and caught up with each other. ,,I took a walk at the park. ,I colored in a coloring book. ,I reorganized my closet. ,I took a nap. ,I went to get coffee with a friend. ,,Having class time devoted to my health and wellness and self-care helped me by forcing myself to take a short break and think about my mental state. This break allowed to look and plan ahead in what I needed to do for that week. The mentor team discussion helped with taking my mind off of pharmacy school and think about other aspect of life. ,"I often would choose activities that I enjoyed doing when I wasn’t in school and often the weather would impact my decision. For example if the weather was sunny, I am more likely to do an activity that would connect me to the nature. However, if is rainy I would do a creative activity like diamond painting. ","After the self-care, I felt relaxed and re-charge for the rest of the week. It would put me in a positive mentality. "
58,,I took care of my orchids that I flew all the way from Seattle (and plan on flying back with me!). ,"To relax this week, I decluttered and cleaned my apartment for an hour. I know this might not seem like wellness but I genuinely love cleaning and organizing. Plus my apartment looks so clean and neat and beautiful now!",I took a nap w/ my cat,I made cinnamon rolls!,I cooked a new recipe I've been wanting to try out!,,I went to the gym!,I tried out a new recipe!,I hung out with my parents. ,Watered my plants,I watered my plants. ,,"In general, I do not think that the class time devoted to health and wellness has really done much. I think that the class discussions around it has been good at opening up and normalizing the discussion around mental health and having mental health and wellness as a priority at UW has definitely made the school a healthier and happier place. It’s also really great that Wednesdays are ‘cleared out’ for us to manage our mental health. On the other hand, I haven’t learned anything new in terms of coping skills, communication skills, etc. I think in terms of dealing with my own personal mental health issues, I’ve learned more from therapy, reading, etc.","Mental health to me means doing something relaxing that I want to do. Whenever every other Wednesday afternoon rolled around, I just did whatever it is in front of me that would help
me relax. If I needed to water my plants, then so be it. If my friends wanted to meet up, or my cats were feeling playful or the weather at the park was especially nice, then that sounds
good too. I decided based on what I wanted to do at the moment.","Self care to me means doing things that make me happy. As such, the time I spend doing my self care (which is much more than once every two weeks) generally improves my mood and as a result, my mental health."
59,,"This past weekend I spent a couple of hours enjoying the sunshine and going on a solo hike. I was feeling very overwhelmed after the first week of the quarter, but I realized that is all the more reason to take some time to do what I enjoy and take a break from school. I felt much better after, and was able to focus better when I resumed school work. Spending time by myself in nature always helps to reset my mental state and brings me happiness. ",The past Friday after class I was feeling very overwhelmed with the amount of studying and assignments I had to do over the weekend. After a long day of class I started to jump into completing homework for the weekend. I then realized I ha not taken a break yet that day so I decided to go for a long walk around my neighborhood. I ended up taking the night off and coming back to school work the next day and I was much more relaxed and productive.,This week I reached out to a friend I haven't seen in a while due to our busy schedules. It felt good to be able to plan a time to see each other and it was great way to de-stress from school. I hadn't realized how isolated I have been feeling until after I saw my friend and felt much less stressed and overwhelmed. ,"This past week I spent some much needed time resting after a long week of school. Friday, I had a long day of school and as usual was feeling stressed about the work I had to do for the coming weekend. I decided to take a nap and give myself some time to rest before starting homework. I knew that if I rested, I would be able to come back to homework with a clear head and that's exactly what happened.","Over the weekend I decided to cook as a mode of self care for myself. Cooking is something I got interested in a few years ago and it was something I could do that relaxed me. After starting pharmacy school, I became busy and didn't cook as often so it felt nice to get back into it after awhile and to take a night off from school before finals.",,"This week I went to the gym a few days after class. It's been a couple years since I felt safe going to a gym but even after a few sessions, it has helped me a lot with my stress management and self image. It has been a good way to start off the quarter by allowing myself to reserve a couple hours a day to just clear my head after class instead of going straight into doing homework and studying. I find that after working out, I am more productive with school work as well.",This week I spent half an hour meditating with the use of a guide video. One of my classmates guided a meditation in our group meeting and I found it to be very helpful in reducing my stress. I felt much calmer and was more productive after the meditation was over.,This week I went for a walk at the arboretum near campus. It was a really nice and sunny day and it helped to manage the stress I had going into a heavy exam week. It was a good way to start the week and the nice day and relaxing walk gave me motivation to study. I always feel less stressed and more productive with little breaks outside and exploring new parks.,This week I made the step to go back to therapy and find a therapist. I have been feeling like I needed a therapist to start helping with my mental health. I had been having barriers due to wait times and insurance issues. I had my first couple of sessions and it has been really helpful to learn strategies to cope with my anxiety as it relates school and stress.,This week I was feeling like I needed some alone time in nature so I chose a close hike and spent some time hiking alone outdoors. It was a gorgeous day and it was good for me to get sunshine and fresh air before the stress of finals sets in. I think I want to incorporate time alone in nature at least once a week while the weather allows. ,,"The class time devoted to health and wellness has been helpful for me. It has been nice to have that reminder every couple of weeks to slow down and do something to take care of myself. It can be so easy with our busy schedules to forget to take time to relax, but it is so necessary. I really appreciated the mental health first aid session because I think that should be normalized and has the potential to help a lot of people. In many of my mentor team meetings, I was reminded of how important it is to get to know my classmates in a stress-free environment.","For me, I tried to choose an activity that I felt I needed at that time, but I also tried a variety of self-care activities. If I was feeling more isolated one week, I tried to fit in some social self-care, or if I felt creative one week, I tried something I normally wouldn’t do such as cooking or painting and if I was feeling overwhelmed or stressed, I tried to give myself some alone time in nature to help with that.","Every time I spent time on my choice of self-care I felt better afterwards. Whether that was socializing with friends, exercising, having alone time, or doing something creative. Each time I felt better and more able to manage my stress and school, even though each activity was different, they all helped me in different ways."
60,,I spent my time taking a nap as a part of my health and wellness.,I worked out at the gym (LA fitness),I will take a 20-minute nap.,I went to the spa this morning.,I slept in for the first time in a while. I have been overly stressed and overwhelmed especially before bedtime.,,Today I spent time doing mindfulness during the cultural activity in class. I learned about the Eritrean culture and compared it to my own. I have a great appreciation to other cultures and am excited to be able to learn more about other cultures in the future,"I sprained my right wrist yesterday which has made life 10 x harder. With my first midterm, I am extremely stressed. I expressed this to my professor who has kindly made accommodations. My goal is to rest and allow my body to heal.",I will be taking a nap so that I can catch up on sleep.,I have a therapy appointment at 3 pm.,I took a nap and took a walk.,,I appreciate that during the Wednesday asynchronous class we are encouraged to attend to our well-being needs. I have utilized taking naps when I have been exhausted or have not caught up on sleep.,"I was able to decide how to participate in the self-care module based on how I was feeling. If there was something missing in my life, a need I felt was lacking I would address it.",I found that the time was beneficial.
61,,"Today I chose to rest/relax by taking a nap. This activity resonated with me the most because I have not been sleeping as much as I should. I have also been going to sleep very late. I took a 30 minute nap after Pharmacy 512 PR concluded. When I woke up, I felt very refreshed.","This week, the activity that resonated with me the most was social connectedness. Today I studied for my PCEUT532 class with a friend at my apartment. This was nice because I have not had many social encounters since classes have been remote for the past 4 weeks. ",Today I chose to rest and relax by discovering and listening to new music!,Today I engaged in social connectedness. I FaceTimed with my mom and dad this afternoon for about an hour. This was really nice because I had not spoken to them on the phone in a few weeks. They asked how I was doing which is question I hear less often living alone and being in a program where my classmates are going through the same stress I am. ,Today I choose to connect to nature by watering all of the plants in my apartment and running two miles along Greenlake.,,Today I took a long walk around my neighborhood to get some fresh air. The weather outside was too nice and sunny to not take advantage of.,"Today for breakfast I made some yogurt with apples, granola, and honey. I also made some buttered toast.",Today I chose to rest and relax by taking an hour nap. I was not feeling well so this helped me.,Today I choose to do a 30 minute at home workout. I have been trying to keep a consistent workout schedule starting this week and so far it is going very well.,Today I chose to take a nap before work.,,"Over the past 3 quarters I have tried my best to take advantage of the class time devoted to health, wellness, and self-care, but I still find it very difficult to devote that time for myself. I sometimes feel that I fail to spend my time in a way that positively affects my mental health. During the fall quarter, I found it very easy to devote this time for myself, but during the winter and spring quarter I struggled to maintain this routine. Usually, I would go running around Greenlake, but now I use this time to work closing shifts at my internship. If this continues to be my routine then I will have to find a way to shift my mindset (e.g., see the positive, practice gratitude, etc.) and find time during the other days of the week to work on my health, wellness, and self-care.","I decided on how to participate in each self-care module by listening to how my body and mind were feeling on that specific day. For example, if I did not rest well the night prior, I would choose to “rest/relax” by taking a nap. Another example is, if I had a scheduled closing shift that day and did not have time to nap, exercise, or meet up with friends, then I would participate in the create module by cooking myself a meal before or after my shift.","By listening to what state my mind and body were in, I was able to choose activities that benefited my health and well-being instead of hurting it. An example of this is when I would choose to spend my time doing yoga after catching up on schoolwork/studying. Spending several hours seated in my kitchen and stimulating my brain would leave me stressed out, so having that little bit of extra time to do yoga really helped my mental health and managing the stress from my workload."
62,,"Today for some self care, I did some rest and relaxation. I played myself some music and folded 2 loads of laundry, a task I tend to let pile up, literally. I find the neat, nice stacks of clothes very satisfying. I just don't get the time to fold the clothes and sort them out as often anymore, so I feel relaxed and productive! :)","Today, I spent some time at the grocery store. I know that's not normally relaxing, but I had more time today and go to visit 99 Ranch, an asian market I don't get to visit as often as it's a little bit further away. I am planning on making some dumplings for Lunar New Year next week and wanted to stock up on some supplies and buy lots and lots of sweet snacks for friends, family, and co-workers to celebrate with. I love celebrating Lunar New Year, so it was really fun for me today to take some time and shop around for all the yummy goodies (and definitely save some money when it comes to sauces, meat, and veggies) :)","Something I did this weekend was go to a friend's home for a game night. I don't get the chance to see my friends as often as I would like to anymore and usually I only see the same group of friends. So it was nice to spend some time this weekend and go to a new home and play some new games with my friends. We played games like Codenames and Exploding Kittens, which are great team games I don't normally get to play with just my boyfriend. It was a lot of fun and getting to sleep in the next morning was a huge bonus too. ","Today I got to play video games with my boyfriend. Yes, it's something we do quite often together. However, with class at home today and me not being at my WIP site, he also happened to have the day off. This is the first day we've had a day off together without having to go somewhere to meet people in a long time, so it was nice to take some time and just sit and relax and play games together. :)","I was SO lucky this week to have some family in town. My brother-in-law and his partner came to spend some time with us this weekend and part of the week. We were able to spend a lot of time together going to breweries, playing games, and enjoying the hot tub. It was so much fun, I already miss them so much. I was so happy to catch up with them and explore more of the Seattle area. ",,"Yesterday because our class ended a little early and I had a student cancellation, I got to join my boyfriend in a nice long walk with our dog. We walked around and played Pokémon Go, I got some really cute pictures of the two of them with a blossoming Japanese cherry tree, and we got to walk on this little trail that connects two streets in my neighborhood. It was a great walk!  ","I love playing video games. Growing up, I wasn't allowed any video games so lo and behold since my 20's I've been trying to make up for a lot. My boyfriend has been playing Halo since it came out way back in the early 2000s and has been trying to get me to play it for years. I finally caved in an attempt to distract myself from finals in fall quarter. And of course I fell in love with the whole franchise. So we played some video games together, now working through the games on the hardest difficulty. One level took us an hour today! But I have lots of fun playing them and spending time with my guy. :)","Today's calming activity was simple, I took a nap. I crawled back into bed, my dog climbed in under the covers, and I got to cuddle her. She's an excellent source of comfort always so I was glad to spend some time with her relaxing. :)","I finally got to go to Costco. I have been needing to go forever and it was so nice to go with my boyfriend and finally get all of those things we've been needing (like, toilet paper). We got my dog wet food, and it was just really nice to give her some wet food in her slow feeder and see how much she enjoyed it. We've never given her that before so that was a fun little moment we got to have. :)","I was so lucky, I got to go to the Woodland Park Zoo for member appreciation night. It was a fun night with some after hours access. We got to see the new butterfly exhibit and I got some really amazing pictures of butterflies. I also got to see the Komodo dragon actually moving around, I've never seen that before, it was so cool! It was such a nice fun and relaxing night, really grateful we've been able to make the most out of our membership there. :)",,"I cannot emphasize enough how much it has meant to have a dedicated “day off” almost every other week. At bare minimum it has been so nice to have just a class at home that just focuses on tying together all the extra details we have been going through. The WIP rotation, while it’s not super high intensity, is a bit draining sometimes so having the “off week” in between helps a lot to collect and gather my thoughts again. ","Most of my self-care has been spent in the relaxing category. I have been feeling burnt out, like, a lot. It has been so nice for the course instructors and my advisor to consistently remind us to take the time to practice self-care, but sometimes it just feels like not enough. But that’s also the burnout speaking, especially since part of the problem of the burnout is that I feel like there’s a mountain of work to do and study and then I can’t take the time off to properly relax so I end up procrastinating and not fully relaxing and thus just drawing out the burn, as it were. ","I really appreciate it. I hope we can keep this up next year, really. Again, as much as I look forward to going to my WIP site and working and everything else, I end up compacting my weekends with catching up with my family and boyfriend for everything I had put off during the work week, that those are just as exhaustive in some ways. So, it’s nice to sleep in, roll out of bed, and just review some notes, discuss something new, and take that little bit of extra time to relax. "
63,,I choose to do an activity that falls under rest/relax. I applied a salicylic acid face mask and watched my favorite tv show without any distractions which helped me relax. ,Connected to environment: After class I went on a brisk walk around my neighborhood and played my favorite music playlist and it took about 45 minutes. It was really relaxing ,I took a walk to target and bought my favorite candy ( watermelon sour patch kids). ,After class I went on a nice walk by the water and listened to music. Then I say on a lawn chair for 10 minutes and listened to music and walked back to my apartment. ,on 9/10 : i used the extra time we had to go over and prepare for the calculations exam and submit my redo my quiz 7  ,,I reached out to a colleague to help me study for an upcoming exam. ,I used class time to finish watching my vaccine lecture. I am now very close to being done!,I took Dr.Do’s advice and I sat in the sun for 15 minutes! ,I used the time in between my mentor groups to make lunch. There was this taco salad recipe I wanted to try out and I finally had the opportunity to make it!,I took 30 minutes today to walk by the water and spent some time doing mediation by the water ,,These past quarters have really helped me take some time out of my day to take care of myself. I didn’t realize the high volume of coursework would affect me in a way where it interfered with daily simple tasks and having a set time to take care of myself or even doing it as homework was really refreshing. ,My decision was based on what I personally needed for the day. Ive been stuck going to classes and studying most of the day where I would forgot to take time out of my day to exercise so most of my decisions were based off of that. On heavier weeks where I had so much going on my mind I would choose to rest rather than exercise. I appreciated all the different options we were given. ,The time spent on my choice of self-care affected me in a positive manner. I would often choose to go on a brisk walk and it made me realize how beneficial it is to get out of my apartment and take some time for myself aside from school and put me back into balance. 
64,,Today I worked on my occupational wellness and spent 20 minutes (and will continue to spend some more time) working on some other coursework to catch up on so I do not feel like I am falling behind. I will continue to be working on other coursework to catch up on my classwork to help my occupational wellness and then take a short break to take a walk and watch a show before continuing in my studies. ,This week I will be spending some time expressing and sharing gratitude. These last couple of weeks have been really busy for me with multiple quizzes and exams falling around the same time and feeling like I have no time to move away from my computer screen without missing pertinent information or losing time. My fiance has been tremendously helpful in picking up the little things that I haven't been able to do and helping me to set up a good study environment so I can be successful. I haven't properly acknowledged his help and I want to spend time today showing gratitude by doing some of the dishes and telling him how meaningful his help is.,"This week I am working on my social connectedness. I have been spending my personal time working on some organization and planning for my wedding, as it is hard to find time to sit down and work on things. What I have been doing is getting in touch with distant family and friends I haven't spoken to in a while, and it has been really nice to catch up with people in my life that I love and talk about this exciting day coming up in my life and tell them how much it means to have them there. ",Today I am working on my rest/relaxation wellness. I have purchased my favorite flavor of Milanos (dark chocolate mint) and put on a pot of tea and am going to enjoy some TV and tea time before getting back into studying. ,"I am attempting to get back into running and today is a really beautiful day, so I am going to go for a run today before I dive back into studying for finals :). ",,Today I am working on my physical and emotional wellness and am spending some time with my dogs and taking them to the park for a bit to enjoy the sunshine. ,"This week is the holiday of Passover, so I was really excited to host my first Passover meal with my fiance and cook a huge, traditional meal and learn how to make Traditional Jewish recipes for the first time. It made me really happy to cook and taste the yummy result and feed a bunch of happy faces, and I am looking forward to continuing the celebration today by indulging in some Matzah ball soup and spending a little time with my grandma while I prepare for exams. ",Today I am working on my 'create' wellness - I am doing some cooking today to keep up my healthy eating plan that my fiancé and I have started together in attempt to look our best for our wedding day. I am also planning on spending some time with my mother and grandmother today for some family bonding time! ,"My fiancé and I started doing 30-minute workouts together, so we will be doing a 30-minute workout video later today. ",n/a,,"I have really enjoyed having that extra catch up day to myself. It has allowed me to spend more time with my family, study, and even learn a few new recipes. I think some of the mentor team discussions detracted a little from the self-care day as much of the time is interrupted and chopped up into blocks of conversation and the ‘catch-up’ feels a little less productive. The synchronous learning sessions are enjoyable and informative.",I thought a lot about how I was feeling that week and considered the amount of work I had in my pile. There were weeks where I felt especially anxious from being inside all the time so I forced myself to go on walks. There were weeks where I was closely following a tv show and wanted to keep tabs on that. It was nice to think. A little bit about what I wanted. ,"a.	It allowed me to focus on some of the things I was neglecting. A lot of which was my physical health, "
65,,"To prepare for this quarter, I wanted to make sure I was healthy both mentally and physically. Unfortunately, I am still dealing with a thyroid issue that has caused problems all over my body. I get exhausted too easily now and I am tired all the time. The constant fear of COVID means mentally I am nowhere near ready, anytime I come home from being outside there is always a fear that I have caught it. I am starting to speak up a little more in class which is what I really wanted to get out of this quarter. Speaking just helps me become more comfortable in my future work environments. Hopefully, as I heal up, I can get on a regular schedule of sleep and studying but for now, I feel like I am already behind.","This week I chose rest/relax. Since I love sleeping, I chose to nap for 20 minutes (this turned into maybe a couple of hours??) It is what I needed to prepare for the 531 exam coming up. A mixture of catching a cold and studying for this test really wiped me out this week, and it feels like I was falling behind. The napped also helped relieve a little stress, which immediately came back when I started studying again.","Last week I really needed a chance to exercise and clear my brain. Unfortunately, I was still feeling sick from the week before. Therefore, the only choice I had was to rest/relax. I didn’t do as well as I would have liked on the 531 test and it has mentally affected me. I am already starting to worry about the rest of Pharmacy School, but I know it is going to be a step-by-step approach. Last weeks naps were not great because every nap meant less time studying and it really did not relax me. I hope by next journal I can figure out a way to relieve stress.","This week I combined being outdoors and breathing in the fresh air with one my favorite hobbies, shopping. I took a walk around the outlet mall in Marysville. It was fun and refreshing but disappointing as I didn’t really find what I was looking for. It did help a little but once I got home, I realized I have so much to do. I think the hardest part of this quarter, or any quarter is getting a bad start. For me it is so hard to just block it out and take each task as a separate task. I need to learn to not let one bad day become 2 or 3 or 4.",I took a random nap last week because the stress was getting to me. PCEU test on Friday has consumed my whole mind for the last week. I realized that the more I crammed the worse I got. At this point I am just trying to make to the end of the quarter and reset my mind. I hope to get a better start next quarter and continue to find more time for me.,,"My goal for this quarter is to find time to exercise and get at least 6 hours of sleep a night. I spent my last two quarters staying up late studying a day or two before an exam without getting even an hour of sleep. Though I got through the material, I could not recall the information during my exams. It’s crucial to get good grades, but I should not let myself deteriorate in the process.","I was able to get myself 6 hours of sleep every day last week. I reorganized my room to feel less cluster, then I went to Pike Place Market to take a walk and bought myself some fresh flowers last Saturday. ",I was able to exercise at least 2 hours twice a week to reduce stress and refresh my mind to prepare for my PCEUT exam on Monday.,I spent an hour at the gym 3 days a week since last week. This helps reduce my stress and refresh my mind for my upcoming Medchem exam this Friday. ,I took a break from studying and went to U-district annual street fair.,,"I think these classes helped me calm down a bit whenever I felt overwhelmed. Just thinking about a different topic gives me a mental break which at first I didn’t think I needed, but it was pretty helpful. This class also helped me critically think about the health of an employee and helped me realize what I do actually want out of a company after I graduate.","A lot of influence was more about the energy I had, a lot of weeks were spent resting, but recently I have started exercising more because it helps reduce stress. It also depended on what else was going on in life.","I will say, it helped just getting clear head so I can go back and hit the books/lectures. Without these breaks, I feel overwhelmed, so self-care time is very important."
66,,"I walked around Home Goods, it was very therapeutic :)",I went for a run around Greenlake park.,I listened to music and cleaned,I went and got a quick lunch with a friend before studying together.,I went to take a walk around my neighborhood to get some fresh air.,,"On March 30, I listened to relaxing music while making lunch.",I relaxed and slept during this time.,"For my health and wellness activity this week, I am having lunch with my mom.","This week, I went to gas works park with a friend to enjoy the sun","Today, I listened to music while taking a walk outside to destress.",,It has given me a designated time where I focus on my self. If I choose to study during that time for an exam then I do it but most of the time it has helped me set aside a time in the day that is much needed to overall maintain mental wellness. I think it has been an important part of the curriculum as it is easy to forget to take a break. ,"I based my decisions on what most I needed from myself. I listened to my body and mind in what was lacking in my life at the moment. If I had been inside all week, then I made myself go outside and run. If I hadn’t eaten that day, I made myself take time to make a meal and just relax before diving back into homework. ",It helped clear my mind and maintain balance in my personal and school life. 
67,,I met a friend for lunch and catch up on our Winter quarter plans.,"For this week health and wellness documentation, I decided to pick a new movie and watch it to unwind after studying",I just picked up a new hobby of tending to house plants and it was very therapeutic to water them and nurture them every day. My favorite leisure activity recently has been going to a plant shop and choosing some new plants for my collection.,I cooked some of my favorite dishes for me and my friends,"For this week's self-care activities, I went to the market and got some ingredients to make a few dishes for me and my friends. I also went to Golden Garden beach to spend time with friends. ",,I went to see the cherry blossom at the quad and had a picnic there with some friends ,I took a walk around Green Lake and enjoyed the fresh air and sunshine ,I went to the grocery store to get some healthy good and also did some shopping with my friends,I went to the movie and watched the new Dr. Strange movie with my friends,"Since it is such a nice day today, I decided to walk to South Campus Center, get a cup of coffee and enjoy the sun before studying. ",,"The most important thing I realized by having the class time devoted to health and wellness over the past 3 quarters was how much the instruction team and UWSOP value their students’ mental health wellness and I truly appreciate that. These dedicated class time allows me to take a deeper breath, relax and think about something different than the heavy course load that us PY1s are facing each quarter, and I can loudly say that this has helped me tremendously in trying to balance my workload and my mental health. ","For me, my choice of how to participate in self-care depends on my mood at the time, therefore it can vary greatly. As an ambivert, I have moments where I would love to spend time with myself and connect with my own thoughts. However, I also enjoy spending quality time with my family and friends and try out new things with new people. ","Since these activities are my choices and they are what I like to do, I feel great that I have set aside some part of the week to unwire and take care of my mental health. I also believe that because of these activities, I can focus better when I study and be more productive. "
68,,I Facetimed a friend for an hour.,I watched videos on Youtube and played games for an hour!,"I cleaned around my apartment, did laundry, and cooked for myself.",I got dinner with a friend at a nearby Pho place!,I baked an imitation Starbucks lemon loaf and watched my brother's cat for an evening!,,I went on a walk at Coulon Park in Renton and enjoyed the sun.,I spent an hour cooking a fried tofu dish for myself to eat.,I took a walk around Coulon Park in Renton!,I made tuna onigiri (rice balls) and had a picnic with a friend at Bellevue Park.,I watched the new Dr. Strange movie with a group of my friends.,,"I greatly value all of the time and attention that has been dedicated towards health, wellness, and self-care throughout this course series. I think it’s important that we do whatever we can to spread awareness of mental health illnesses and create a safe space that welcomes these and related topics of discussion. The class time devoted to health and wellness and self-care has inspired me to do the same and has helped me not to be so hard on myself when I feel as though I am underperforming during times I am struggling with my own mental health.","Rather than picking between each self-care module, what worked better for me was participating in the self-care activities that I felt like doing in the moment then documenting them/seeing where they fit in the choice board afterwards. Factors that influenced my decisions included time constraints and my social battery.",They helped me destress from school and life.
69,,I took a walk with my dad around a small park next to my neighborhood. ,I went running with my dad for about 40 minutes in a park that's close to our neighborhood.,I cooked dinner for my dad and two of my friends. I made fried rice. ,"Over the three-day weekend, I invited friends over to my place and we chatted, had dinner, and studied together. It was very relaxing and happy. ","My highlight of the week was that I got to distribute medications with a nurse to the inmates at my WIP facility during this WIP session. It made me think a lot, but it was relaxing and meaningful to me at the same time. I really enjoyed this experience. ",,I met a high school friend. We got boba together and had a nice chat. ,I had lunch with my Big from Kappa Psi and it was relaxing and fun. ,"My mom and my little sister came to Seattle to visit me this week. We went to the park, took walks, and had good foods together. It's been a fun time having them around!",I went for a run with my dad in the neighborhood. It was really sunny and I enjoyed the spring view. ,I went for a walk around the lake behind the health science building after school. ,,The class time devoted to health and wellness as well as self-care allowed me to slow down and take a breath in the middle of a week. It felt relaxing and destressing to know that I have that 2+ hours of class time to finish schoolwork and do something I enjoy. ,"I didn’t really plan my self-care activities for each module. I usually do what I feel like doing at the moment. For example, I enjoy taking a walk or going for a run in the neighborhood before dinner time. When my friends want to hang out, I see that as my self-care activity. ","It helps me withdraw myself from school. It’s always refreshing for me whenever I come back from exercising, or just being in the nature for a bit before I come back to my desk. "
70,,"I've recently gotten into a new hobby that allows me explore my creativity and is very therapeutic for me! Not sure if you guys have heard it or seen it before, but its called toploader deco, where you just decorate a toploader using whatever stickers you have around. People usually use it to protect their polaroids/photocards and display them, but recently I've seen people use it for their vaccination cards too! I've attached a photo of some that I have made in the past few days/weeks.","Lately I have been spending a lot of time just sitting in one place and studying for exams which also has given me lots of headaches. For my self care, I decided to take about a 30 minute to one hour break just to clean my room because I needed some time away from my screen and to move around for a bit. Also seeing things get cleaner made me feel more satisfied.",I was having really bad headaches while studying for exams so I treated myself to small naps in between study sessions throughout the week.,I am meeting up with a friend who I haven’t gotten the chance to hang out with for over 2 months and we’re going to try out a new restaurant together.,My sister requested I make a vaccine top loader for her so I decorated this for her! Decorating this was really calming and therapeutic.,,I took a break from binge watching lectures and treated myself to one episode of a Netflix show.,I baked brownies with my brother to satisfy my cravings and take a break from studying!,"Recently I’ve been really busy trying to catch up with school work which made me neglect my social life a little bit. To make up for that, this week, I spent some time to hit up two of my older friends from high school and undergrad and got the chance to catch up with them.",It’s been awhile since I last journaled so I did a new journal entry and wrote about some positive things that happened within the past few weeks.,I spent time cooking a meal with my sisters and cousin which is more fun and enjoyable when you have others cook with you!,,"It is easy for us students to get caught up in all of the school work that is assigned to us and easy for us to forget to focus on ourselves. I really appreciate the emphasis and time that is provided In this class that allows us to focus on our mental health and well being otherwise I don’t think I would have put much attention to taking care of myself mentally. I used to feel guilty if I treated myself to an episode of my show, or going to hangout with my friends knowing that I should be studying, but these assignments remind me that it is important that I am not cooped up studying all day.","When deciding what to choose from the choice board, it really all came down to how I was feeling what week and how much time I was willing to put aside for myself. For example, if I was feeling motivated to study and get a lot of school work done that week, I probably would have picked a more quick task from the choice board (such as taking a short nap or doing a quick arts and crafts project). If I was feeling really mentally out of it and needed a real break from everything, then I would treat myself to episodes of my favorite show or hit up a friend and ask for them to keep me company to get my mind off things.",The time I spent on self-care helped me avoid the many mental breakdowns that I think I would have experienced if I were to not spend time focusing on my mental health. It also helped me enjoy my hobbies and allowed me to focus on my relationships with all of the people around me. 
